id,label,party,period,period_group
0,George Washington,Independent,Early Republic (1789Ð1829),1
1,John Adams,Federalist,Early Republic (1789Ð1829),1
2,Thomas Jefferson,Democratic-Republican,Early Republic (1789Ð1829),1
3,James Madison,Democratic-Republican,Early Republic (1789Ð1829),1
4,James Monroe,Democratic-Republican,Early Republic (1789Ð1829),1
5,John Quincy Adams,Democratic-Republican/National Republican,Early Republic (1789Ð1829),1
6,Andrew Jackson,Democratic,Jacksonian Democracy (1829Ð1853),2
7,Martin Van Buren,Democratic,Jacksonian Democracy (1829Ð1853),2
8,William Henry Harrison,Whig,Jacksonian Democracy (1829Ð1853),2
9,John Tyler,Whig,Jacksonian Democracy (1829Ð1853),2
10,James K. Polk,Democratic,Jacksonian Democracy (1829Ð1853),2
11,Zachary Taylor,Whig,Jacksonian Democracy (1829Ð1853),2
12,Millard Fillmore,Whig,Jacksonian Democracy (1829Ð1853),2
13,Franklin Pierce,Democratic,Sectional Conflict (1853Ð1881),3
14,James Buchanan,Democratic,Sectional Conflict (1853Ð1881),3
15,Abraham Lincoln,Republican/National Union,Sectional Conflict (1853Ð1881),3
16,Andrew Johnson,Democratic/National Union,Sectional Conflict (1853Ð1881),3
17,Ulysses S. Grant,Republican,Sectional Conflict (1853Ð1881),3
18,Rutherford B. Hayes,Republican,Sectional Conflict (1853Ð1881),3
19,James A. Garfield,Republican,Gilded Age (1881Ð1897),4
20,Chester A. Arthur,Republican,Gilded Age (1881Ð1897),4
21,Grover Cleveland,Democratic,Gilded Age (1881Ð1897),4
22,Benjamin Harrison,Republican,Gilded Age (1881Ð1897),4
23,Grover Cleveland,Democratic,Gilded Age (1881Ð1897),4
24,William McKinley,Republican,Progressive Era (1897Ð1921),5
25,Theodore Roosevelt,Republican,Progressive Era (1897Ð1921),5
26,William Howard Taft,Republican,Progressive Era (1897Ð1921),5
27,Woodrow Wilson,Democratic,Progressive Era (1897Ð1921),5
28,Warren G. Harding,Republican,Depression & World Conflict (1921Ð1961),6
29,Calvin Coolidge,Republican,Depression & World Conflict (1921Ð1961),6
30,Herbert Hoover,Republican,Depression & World Conflict (1921Ð1961),6
31,Franklin D. Roosevelt,Democratic,Depression & World Conflict (1921Ð1961),6
32,Harry S. Truman,Democratic,Depression & World Conflict (1921Ð1961),6
33,Dwight D. Eisenhower,Republican,Depression & World Conflict (1921Ð1961),6
34,John F. Kennedy,Democratic,Social Change & Soviet Relations (1961Ð1989),7
35,Lyndon B. Johnson,Democratic,Social Change & Soviet Relations (1961Ð1989),7
36,Richard Nixon,Republican,Social Change & Soviet Relations (1961Ð1989),7
37,Gerald R. Ford,Republican,Social Change & Soviet Relations (1961Ð1989),7
38,Jimmy Carter,Democratic,Social Change & Soviet Relations (1961Ð1989),7
39,Ronald Reagan,Republican,Social Change & Soviet Relations (1961Ð1989),7
40,George Bush,Republican,Globalization (1989Ð),8
41,William J. Clinton,Democratic,Globalization (1989Ð),8
42,George W. Bush,Republican,Globalization (1989Ð),8
43,Barack Obama,Democratic,Globalization (1989Ð),8
