value,source,target
0.80190855,16,15
0.870530382,43,39
0.96235161,43,41
0.878663149,22,17
0.957688572,20,22
0.962007026,20,21
0.916233113,20,18
0.851499734,20,17
0.862778409,20,24
0.959126088,31,33
0.975746411,31,32
0.804592212,31,30
0.781180506,13,15
0.935921123,13,14
0.846684027,13,10
0.872187328,13,12
0.942405185,40,43
0.932042515,40,42
0.811558588,40,38
0.972920574,40,39
0.992885071,40,41
0.99725176,42,43
0.844567306,42,39
0.948675813,42,41
0.921632314,0,1
0.992657278,21,22
0.929222558,21,18
0.91015723,21,17
0.997734941,32,33
0.804592212,30,31
0.758393876,30,32
0.830785065,14,15
0.935921123,14,13
0.893183671,14,10
0.777530588,14,12
0.755733115,10,6
0.986332472,3,2
0.815993721,4,6
0.855234789,4,3
0.992276811,4,5
0.843638392,4,2
0.909412368,38,37
0.911628179,38,39
0.797361755,34,33
0.980928651,34,37
0.760296694,34,32
0.948075825,34,38
0.854625382,34,36
0.880044607,34,39
0.819166118,5,6
0.850725345,5,3
0.836242817,5,2
0.839643537,9,6
0.836587895,9,10
0.805261353,35,33
0.980658849,35,37
0.767864254,35,32
0.820261452,35,38
0.951283122,35,34
0.888854817,35,36
0.877994185,7,6
0.797394166,7,10
0.985780629,7,9
0.917747443,12,11
0.92865133,36,37
0.823932657,36,38
0.854625382,36,34
0.755169433,39,33
0.776467211,39,37
0.911628179,39,38
0.913314432,18,22
0.900833691,18,17
0.885443844,25,29
0.878663149,17,22
0.866171344,28,29
0.813268129,26,29
0.981599072,26,25
0.96235161,41,43
0.838579775,41,38
0.968800967,41,39
0.938163995,24,22
0.931962796,24,21
0.775075667,24,18
0.837535399,24,17
0.794503734,24,26
0.961999681,27,29
0.811509764,27,25
0.883079555,27,28
